artwork_id,image_id,date,title_fr,title_en,title_lang,medium,support,width_cm,height_cm,width_in,height_in,tags,show,favorite,possessor,notes
mj-20221221,img-20221221,2022-12-21,opportunités,opportunities,fr,acrylic marker and paint on canvas,canvas,,,14,11,,1,0,Martin Jambon,
mj-20221204,img-20221204,2022-12-04,la ligne,the line,fr,acrylic marker and paint on canvas,canvas,,,14,11,,1,0,Martin Jambon,
mj-20221127,img-20221127,2022-11-27,le centre du monde,the center of the world,fr,acrylic marker and paint on canvas,canvas,,,14,11,,1,1,Martin Jambon,
mj-20221125-27,img-20221125-27,2022-11-25,"le printemps à Barbizon, par Millet",Spring at Barbizon,fr,acrylic marker on postcard,paper,14.2,10,,,postcard,1,0,Martin Jambon,
mj-20221125-26,img-20221125-26,2022-11-25,"paysage avec deux paysannes, par Millet",landscape with two peasant women,fr,,,10,14.2,,,postcard,1,0,Martin Jambon,
mj-20221125-25,img-20221125-25,2022-11-25,"la gardeuse d´oies, par Millet",the goose girl,fr,,,14.2,10,,,postcard,1,1,Martin Jambon,
mj-20221125-24,img-20221125-24,2022-11-25,"le départ pour le travail, par Millet",going to work,fr,,,10,14.2,,,postcard,1,1,Martin Jambon,
mj-20221125-23,img-20221125-23,2022-11-25,"l´homme à la houe, par Millet",the man with the hoe,fr,,,10,14.2,,,postcard,1,1,Martin Jambon,
mj-20221125-22,img-20221125-22,2022-11-25,"berger gardant son troupeau, par Millet",shepherd tending his flock,fr,,,14.2,10,,,postcard,1,0,Martin Jambon,
mj-20221125-21,img-20221125-21,2022-11-25,"la bergerie, par Millet","the sheepfold, moonlight",fr,,,14.2,10,,,postcard,1,1,Martin Jambon,
mj-20221125-20,img-20221125-20,2022-11-25,"le semeur, par Millet",the sower,fr,,,14.2,10,,,postcard,1,0,Martin Jambon,
mj-20221125-19,img-20221125-19,2022-11-25,"meules de foin, automne, par Millet",haystacks: Autumn,fr,,,14.2,10,,,postcard,1,0,Martin Jambon,
mj-20221125-18,img-20221125-18,2022-11-25,"la baigneuse, par Millet",the bather,fr,,,14.2,10,,,postcard,1,0,Martin Jambon,
mj-20221125-17,img-20221125-17,2022-11-25,"paysage d´automne avec un troupeau de dindes, par Millet",autumn landscape with a flock of turkeys,fr,,,10,14.2,,,postcard,1,0,Martin Jambon,
